"亞洲股市指數行情"
"股市","指數","漲跌","比例","當地"
"紐西蘭","5750.882","44.18","0.77%","07/14"
"澳洲股市","5561.90","101.50","1.86%","17:37"
"日經225","20385.33","295.56","1.47%","07/14"
"東證一部","1638.71","25.20","1.56%","07/14"
"東證二部","5022.79","109.07","2.22%","21:20"
"JASDAQ","119.50","2.81","2.41%","21:20"
"韓國股市","2059.23","-2.29","-0.11%","18:01"
"台灣加權","9041.76","7.84","0.09%","07/14"
"台灣店頭","130.92","-0.28","-0.21%","07/14"
"上海綜合","3924.487","-45.90","-1.16%","07/14"
"上海A股","4111.754","-48.03","-1.15%","07/14"
"上海B股","362.99","-5.88","-1.59%","20:20"
"深圳A股","2248.07","30.88","1.39%","20:20"
"深圳B股","1301.13","-12.39","-0.94%","20:20"
"滬深300","4112.148","-99.66","-2.37%","07/14"
"深證成指","12728.52","114.36","0.91%","07/14"
"中小板指","8555.76","164.97","1.97%","07/14"
"創業板指","2726.05","42.98","1.60%","07/14"
"香港恆生","25120.91","-103.10","-0.41%","07/14"
"香港國企","11836.17","-167.66","-1.40%","07/14"
"香港紅籌","4534.93","-47.76","-1.04%","07/14"
"蒙古股市","14360.4","37.96","0.27%","07/11"
"新加坡","3316.5","5.28","0.16%","17:10"
"海峽中國","236.55","1.28","0.54%","17:10"
"越南股市","638.69","4.63","0.73%","07/14"
"泰國股市","1488.4","-2.25","-0.15%","17:08"
"菲律賓","7538.76","42.43","0.57%","07/14"
"馬來西亞","1721.1","4.99","0.29%","07/14"
"印尼股市","4901.809","7.89","0.16%","16:00"
"印度股市","27932.9","-28.29","-0.10%","17:19"
"巴基斯坦","24610.91","-102.98","-0.42%","14:40"

"歐洲股市指數非洲股市指數"
"股市","指數","漲跌","比例","當地"
"俄羅斯","919.79","4.32","0.47%","19:50"
"英國股市","6753.75","15.80","0.23%","07/14"
"法國股市","5032.47","34.37","0.69%","07/14"
"德國股市","11516.9","32.52","0.28%","07/14"
"土耳其","83041.13","-347.19","-0.42%","07/14"
