"亞洲股市指數行情"
"股市","指數","漲跌","比例","當地"
"紐西蘭","5986.371","-16.60","-0.28%","10/30"
"澳洲股市","5288.60","-21.60","-0.41%","16:38"
"日經225","19083.1","147.39","0.78%","10/30"
"東證一部","1558.2","11.09","0.72%","10/30"
"東證二部","4694.69","13.95","0.30%","21:20"
"JASDAQ","110.93","0.12","0.11%","21:20"
"韓國股市","2029.47","-4.69","-0.23%","18:03"
"台灣加權","8554.31","-16.77","-0.20%","10/30"
"台灣店頭","124.83","-0.02","-0.02%","10/30"
"上海綜合","3382.561","-4.75","-0.14%","10/30"
"上海A股","3542.16","-5.33","-0.15%","10/30"
"上海B股","358.55","8.34","2.38%","20:20"
"深圳A股","2107.80","0.47","0.02%","20:20"
"深圳B股","1153.44","1.59","0.14%","20:20"
"滬深300","3534.079","0.77","0.02%","10/30"
"深證成指","11546.05","-20.61","-0.18%","10/30"
"中小板指","7795.92","24.06","0.31%","10/30"
"創業板指","2478.28","-7.00","-0.28%","10/30"
"香港恆生","22640.04","-179.90","-0.79%","10/30"
"香港國企","10396.58","-42.80","-0.41%","10/30"
"香港紅籌","4146.37","7.64","0.18%","10/30"
"香港創業板","490.54","2.36","0.48%","10/30"
"蒙古股市","13211.56","90.14","0.69%","10/30"
"新加坡","2998.35","-3.16","-0.11%","17:10"
"越南股市","607.37","2.17","0.36%","10/30"
"泰國股市","1394.94","4.90","0.35%","17:07"
"菲律賓","7134.26","-54.99","-0.76%","10/30"
"馬來西亞","1665.71","-1.27","-0.08%","10/30"
"印尼股市","4455.18","-16.84","-0.38%","16:00"
"印度股市","26656.83","-181.31","-0.68%","17:19"
"巴基斯坦","23945.47","-11.31","-0.05%","15:59"

"歐洲股市指數非洲股市指數"
"股市","指數","漲跌","比例","當地"
"俄羅斯","845.54","5.97","0.71%","18:50"
"英國股市","6361.09","-34.71","-0.54%","16:35"
"法國股市","4897.66","11.84","0.24%","18:05"
"德國股市","10850.14","49.30","0.46%","18:30"
"土耳其","79409","872.71","1.11%","16:54"
"匈牙利","21557.44","-388.56","-1.77%","17:25"
"烏克蘭","793.19","-4.82","-0.60%","19:05"
"奧地利","2420.66","-2.27","-0.09%","17:45"
"波蘭股市","50271.65","8.97","0.02%","17:15"
"捷克股市","983.14","3.67","0.37%","16:45"
"瑞典股市","1499.23","3.37","0.23%","10/30"
"芬蘭股市","8390.063","38.72","0.46%","18:35"
"挪威股市","549.11","-0.61","-0.11%","17:40"
"希臘股市","701.22","-14.55","-2.03%","17:19"
"義大利","24119.03","10.91","0.05%","17:30"
"比利時","3600.2","13.18","0.37%","18:05"
"盧森堡","1430.811","-11.69","-0.81%","17:35"
"荷蘭股市","462.12","-0.87","-0.19%","18:05"
"冰島股市","1304.96","5.22","0.40%","16:35"
"丹麥股市","937.943","-4.01","-0.43%","17:05"
