"亞洲股市指數行情"
"股市","指數","漲跌","比例","當地"
"紐西蘭","3461.81","4.35","0.13%","18:31"
"澳洲股市","4561.40","-29.40","-0.64%","17:41"
"日經225","9596.74","-32.69","-0.34%","15:28"
"東證一部","825.51","-3.48","-0.42%","15:00"
"東證二部","2294.37","13.28","0.58%","15:00"
"JASDAQ","51.54","-0.21","-0.41%","15:11"
"韓國股市","2055.86","-8.04","-0.39%","18:05"
"台灣加權","8567.28","-53.76","-0.62%","13:46"
"台灣店頭","132.05","-0.18","-0.14%","13:46"
"上海綜合","2688.25","38.93","1.47%","15:15"
"上海A股","2816.15","40.65","1.46%","15:15"
"上海B股","264.83","6.44","2.49%","15:15"
"深圳A股","1163.13","23.93","2.10%","15:00"
"深圳B股","704.44","12.93","1.87%","15:00"
"滬深300","2957.63","49.05","1.69%","15:01"
"深證成指","11775.30","231.66","2.01%","15:00"
"香港恆生","21759.10","-100.83","-0.46%","16:01"
"香港國企","12066.50","-82.42","-0.68%","16:01"
"香港紅籌","3993.42","-6.58","-0.16%","16:01"
"新加坡","3044.72","1.89","0.06%","17:10"
"海峽中國","284.11","-3.13","-1.09%","16:40"
"越南股市","434.75","-4.88","-1.11%","11:02"
"泰國股市","1014.13","-9.73","-0.95%","17:01"
"菲律賓","4241.14","-4.14","-0.10%","14:00"
"馬來西亞","1563.19","-4.16","-0.27%","16:05"
"印尼股市","3823.65","1.82","0.05%","16:00"
"印度股市","17727.50","176.86","1.01%","18:00"
"巴基斯坦","8675.24","89.85","1.05%","16:12"

"歐洲股市指數非洲股市指數"
"股市","指數","漲跌","比例","當地"
"俄羅斯","1829.97","-48.41","-2.58%","06/23"
"英國股市","5674.38","-98.61","-1.71%","06/23"
"法國股市","3787.79","-83.58","-2.16%","06/23"
"德國股市","7149.44","-128.75","-1.77%","06/23"
"土耳其","61589.90","371.95","0.61%","06/23"
"匈牙利","22304.40","-234.77","-1.04%","06/23"
"奧地利","2713.98","-17.30","-0.63%","06/22"
"波蘭股市","48485.30","-378.62","-0.77%","06/22"
"捷克股市","1210.30","-14.80","-1.21%","06/23"
"瑞典股市","1055.24","-17.91","-1.67%","06/23"
"芬蘭股市","6367.44","-101.12","-1.56%","06/23"
"挪威股市","369.91","-9.98","-2.63%","06/23"
"希臘股市","1241.82","-29.61","-2.33%","06/23"
"義大利","20177.80","-550.80","-2.66%","06/23"
"盧森堡","1394.09","7.76","0.56%","06/22"
"荷蘭股市","328.57","-5.60","-1.68%","06/23"
"冰島股市","604.50","-15.43","-2.49%","06/23"
"丹麥股市","414.69","-5.84","-1.39%","06/23"
"瑞士股市","5991.09","-122.35","-2.00%","06/23"
"西班牙","1008.12","-30.46","-2.93%","06/23"
"葡萄牙","2664.70","-34.84","-1.29%","06/23"
"愛爾蘭","2874.22","-33.38","-1.15%","06/23"
"以色列","1211.08","-21.08","-1.71%","06/23"
"埃及股市","545.82","0.60","0.11%","06/23"
"南非股市","27026.90","-448.48","-1.63%","06/23"
"約旦股市","2122.97","-0.42","-0.02%","06/23"
"杜拜股市","1537.48","-12.13","-0.78%","06/23"
"阿布達比","2716.72","-15.82","-0.58%","06/23"

"美洲股市指數行情"
"股市","指數","漲跌","比例","當地"
"道瓊工業","12050.00","-59.67","-0.49%","06/23"
"那斯達克","2686.75","17.56","0.66%","06/23"
"羅素兩千","802.68","2.81","0.35%","16:49"
"S&P 五百","1283.50","-3.64","-0.28%","06/23"
"費城金銀","196.47","-1.79","-0.90%","06/23"
"DJ貴金屬","399.71","-4.46","-1.10%","17:15"
"CBOE黃金","228.14","-3.67","-1.58%","06/23"
"AMEX金蟲","514.28","-6.84","-1.31%","06/23"
"AMEX能源","725.75","-7.76","-1.06%","06/23"
"NYSE能源","12941.80","-146.69","-1.12%","17:53"
"費城油業","254.73","-1.06","-0.41%","06/23"
"AMEX石油","1250.33","-16.40","-1.29%","06/23"
"費城半導","402.56","5.83","1.47%","06/23"
"NSDQ金融","2075.82","-18.09","-0.86%","06/23"
"NYSE金融","4757.57","-53.61","-1.11%","06/23"
