"亞洲股市行情 (Asian Markets)"
"股市","指數","漲跌","比例","時間"
"日經225","13325.94","-535.35","-3.86","01/21"
"東證一部","1293.74","-47.76","-3.56","01/21"
"東證二部","2869.17","-47.20","-1.62","01/21"
"JASDAQ","62.99","-0.55","-0.87","01/21"
"上海綜合","4914.44","-266.08","-5.14","01/21"
"上海A股","5157.44","-279.43","-5.14","01/21"
"上海B股","338.78","-15.71","-4.43","01/21"
"滬深300","5145.73","-268.73","-4.96","01/21"
"香港恆生","23818.86","-1383.01","-5.49","01/21"
"香港國企","13531.45","-1029.87","-7.07","01/21"
"香港紅籌","5178.95","-278.84","-5.11","01/21"
"台灣加權","8110.20","-74.45","-0.91","01/21"
"台灣店頭","142.97","0.79","0.56","01/21"
"韓國指數","1683.56","-51.16","-2.95","01/21"
"新加坡","2917.15","-187.10","-6.03","01/21"
"馬來西亞","1408.60","-30.89","-2.15","01/21"
"菲律賓","3152.30","-16.00","-0.50","01/21"
"印尼股市","2485.88","-125.25","-4.80","01/21"
"越南股市","833.88","-13.17","-1.55","01/21"
"泰國股市","766.53","-23.14","-2.93","01/21"
"印度股市","17605.35","-1408.35","-7.41","01/21"
"澳洲股市","5444.10","-186.80","-3.32","10:07"
"紐西蘭","3508.64","-138.26","-3.79","07:47"

"歐洲股市行情 (European Markets)"
"股市","指數","漲跌","比例","時間"
"俄羅斯","1999.83","-159.27","-7.38","01/21"
"英國指數","5578.20","-323.50","-5.48","01/21"
"法國指數","4744.45","-347.95","-6.83","01/21"
"德國指數","6790.19","-523.98","-7.16","01/21"
"道瓊歐洲","3703.05","-292.12","-7.31","01/21"
"土耳其","45544.08","-3113.38","-6.40","01/21"
"匈牙利","23368.94","-740.14","-3.07","01/21"
"奧地利","3712.61","-185.67","-4.76","01/21"
"波蘭股市","44509.36","-2619.31","-5.56","01/21"
"捷克股市","1489.60","-72.10","-4.62","01/21"
"盧森堡","1996.98","-113.18","-5.36","01/21"
"義大利","25606.00","-1304.00","-4.85","16:43"
"西班牙","1365.13","-101.37","-6.91","01/21"
"瑞士股市","7287.14","-404.84","-5.26","01/21"
"瑞典股市","917.75","-39.88","-4.16","01/21"
"芬蘭股市","9500.71","-534.16","-5.32","01/21"
"挪威股市","324.06","-23.04","-6.64","01/21"
"以色列","1117.15","-33.01","-2.87","01/21"
"埃及股市","88813.13","-3757.23","-4.06","01/21"
"南非股市","23085.52","-1153.44","-4.76","01/21"
"摩洛哥","28094.98","-118.11","-0.42","01/18"
"約旦指數","8056.49","-195.73","-2.37","01/21"
"杜拜指數","5555.69","-312.66","-5.33","01/21"

"美洲股市行情 (American Markets)"
"股市","指數","漲跌","比例","時間"
"道瓊工業","12099.30","-59.91","-0.49","01/18"
"NASDAQ","2340.02","-6.88","-0.29","01/18"
"羅素2000","673.18","-7.39","-1.09","01/18"
"S&P 500","1325.19","-8.06","-0.60","01/18"
"費城金銀","177.30","1.92","1.09","01/18"
"DJ貴金屬","356.94","4.36","1.24","01/18"
"CBOE黃金","186.40","1.59","0.86","01/18"
"AMEX金蟲","436.80","2.72","0.63","01/18"
"AMEX能源","694.02","2.59","0.38","01/18"
"NYSE能源","13539.41","67.28","0.50","01/18"
"費城油業","261.28","-1.70","-0.65","01/18"
"AMEX石油","1348.47","12.83","0.96","01/18"
"費城半導","358.35","8.50","2.43","01/18"
"NSDQ金融","2490.70","-27.93","-1.11","01/18"
"NYSE金融","7310.15","-82.81","-1.12","01/18"
"NBI生技","832.40","-14.42","-1.70","01/18"
"AMEX生技","786.73","-23.49","-2.90","01/18"
"費城藥物","199.66","-1.96","-0.97","01/18"
"加拿大","12146.92","-590.20","-4.63","15:37"
"巴西指數","53709.11","-3797.36","-6.60","16:15"
"墨西哥","25354.45","-1359.38","-5.09","14:17"
"阿根廷","1876.87","-125.59","-6.27","17:00"
"智利","2429.99","-125.67","-4.92","15:37"

"分類指數行情"
"股市","指數","漲跌","比例","時間"
"波海乾貨航運","6462.00","-10.00","-0.15","01/18"
"波海海峽航運","7754.00","234.00","3.11","01/18"
"波海巴拿馬航運","6721.00","-70.00","-1.03","01/18"
"VIX波動率","27.18","-1.28","-4.50","01/18"
"DJ交通運輸","4179.70","39.41","0.95","01/18"
"道瓊公用事業","503.92","-7.49","-1.47","01/18"
"歐洲公用事業","324.60","-25.21","-7.21","17:45"
"全球公用事業","7521.38","-380.43","-4.81","16:15"
"ISE水指數","77.01","-0.75","-0.96","01/18"
"道瓊水指數","661.11","-5.62","-0.84","01/18"
"NSDQ純淨優勢","486.93","-1.86","-0.38","01/18"
"純淨科技","1276.32","-4.88","-0.38","01/18"
"WH創新能源","230.43","-2.19","-0.94","01/18"
"WH乾淨能源","221.71","-2.35","-1.05","01/18"
"全球乾淨能源","2803.51","-155.69","-5.26","16:34"
"ISE替代能源","51.64","-1.28","-2.42","01/18"
"全球替代能源","2921.97","-190.95","-6.13","16:33"
"生物能源","556.74","-2.32","-0.41","16:33"
"AMEX環境服務","936.89","-7.32","-0.78","01/18"
"歐洲環境控制","152.34","-6.98","-4.38","17:45"
"美國環境控制","92.99","-0.78","-0.83","01/18"
"KLD社會責任","113.87","-0.61","-0.53","01/18"
"Clvrt社會責任","77.78","-0.60","-0.77","01/18"
"ISE邪惡指數","110.18","-0.99","-0.89","01/18"
"MSCI世界能源","265.66","-0.65","-0.24","01/18"
"MSCI世界原料","269.75","1.18","0.44","01/18"

"分類指數行情"
"股市","指數","漲跌","比例","時間"
"Rogers商品","4440.47","17.20","0.39","01/18"
"Rogers能源","1249.13","5.08","0.41","1/18"
"Rogers金屬","2253.53","30.74","1.38","1/18"
"Rogers農產","1406.55","-3.07","-0.22","1/18"
"日本不動產","2640.34","-90.39","-3.31","15:44"
"東證REIT","1594.77","-29.31","-1.80","15:00"
"澳洲不動產","1398.83","-21.73","-1.53","18:14"
"新加坡不動產","1131.38","4.49","0.40","01/18"
"恆生地產","33292.63","-1897.86","-5.39","17:01"
"亞洲REIT","148.54","-3.57","-2.35","16:30"
"英國不動產","1945.54","-40.66","-2.05","17:36"
