"亞洲股市行情 (Asian Markets)"
"股市","指數","漲跌","比例","當地"
"日經225","13068.30","46.34","0.36","16:00"
"東證一部","1285.35","-0.75","-0.06","15:01"
"東證二部","2840.81","2.12","0.07","15:01"
"JASDAQ","63.05","-0.11","-0.17","15:00"
"上海綜合","4490.72","-108.98","-2.37","15:16"
"上海A股","4712.72","-114.38","-2.37","15:16"
"上海B股","310.40","-7.32","-2.30","15:16"
"滬深300","4816.08","-105.74","-2.15","15:01"
"香港恆生","23169.55","247.88","1.08","16:01"
"香港國企","12949.38","212.69","1.67","16:01"
"香港紅籌","5221.73","79.00","1.54","16:01"
"台灣加權","7550.55","-2.75","-0.04","13:46"
"台灣店頭","120.61","-1.13","-0.93","13:46"
"韓國指數","1631.78","-11.51","-0.70","18:06"
"越南股市","817.86","-23.37","-2.78","11:01"
"泰國股市","829.41","11.92","1.46","17:01"
"菲律賓","3223.35","22.45","0.70","12:11"
"馬來西亞","1423.15","5.63","0.40","17:00"
"印尼股市","2610.78","18.71","0.72","17:09"
"印度股市","16949.14","341.13","2.05","16:28"
"孟加拉","2966.62","-3.18","-0.11","21:20"
"巴基斯坦","10031.67","23.85","0.24","13:15"
"斯里蘭卡","2507.42","12.58","0.50","14:29"
"澳洲股市","5615.30","-54.10","-0.95","16:47"
"紐西蘭","3545.77","-29.07","-0.81","13:31"
"新加坡","2949.54","23.31","0.80","17:10"
"龍籌股","177.63","+0.11","0.06","02/13"

"歐洲股市行情 (European Markets)"
"股市","指數","漲跌","比例","當地"
"俄羅斯","2004.48","23.64","1.19","17:00"
"英國指數","5880.10","-29.90","-0.51","15:35"
"法國指數","4855.40","14.69","0.30","17:11"
"德國指數","6973.67","5.83","0.08","19:29"
"道瓊歐洲","3803.21","-0.55","-0.01","18:00"
"土耳其","44752.46","1212.61","2.79","16:11"
"匈牙利","24545.51","481.31","2.00","15:36"
"奧地利","3905.96","41.96","1.09","16:35"
"波蘭股市","49770.40","406.07","0.82","15:40"
"捷克股市","1569.90","45.90","3.01","16:13"
"瑞典股市","949.05","3.64","0.39","16:44"
"芬蘭股市","10835.56","-28.23","-0.26","17:31"
"挪威股市","348.85","0.33","0.09","15:25"
"希臘指數","4352.41","3.40","0.08","15:54"
"義大利","25910.00","172.00","0.67","16:43"
"盧森堡","2112.96","13.22","0.63","16:40"
"荷蘭","444.18","0.29","0.07","17:07"
"瑞士股市","7536.45","-10.44","-0.14","16:30"
"西班牙","1438.13","1.18","0.08","16:37"
"葡萄牙","3567.58","13.65","0.38","16:08"
"愛爾蘭","6596.03","-51.74","-0.78","19:00"
"以色列","1087.09","13.10","1.22","15:26"
"埃及股市","89352.62","1360.64","1.55","12:41"
"南非股市","26279.27","-124.85","-0.47","15:00"
"摩洛哥","28664.42","167.20","0.59","02/12"
"約旦指數","7726.97","21.98","0.29","13:59"
"杜拜指數","5653.31","21.43","0.38","11:59"

"美洲股市行情 (American Markets)"
"股市","指數","漲跌","比例","當地"
"道瓊工業","12552.24","178.83","1.45","16:30"
"NASDAQ","2373.93","53.89","2.32","17:16"
"羅素2000","721.93","16.45","2.33","17:00"
"S&P 500","1367.21","18.35","1.36","17:00"
"費城金銀","179.43","2.78","1.57","16:51"
"DJ貴金屬","363.86","5.23","1.46","17:34"
"CBOE黃金","183.83","2.64","1.46","16:49"
"AMEX金蟲","438.58","8.64","2.01","17:06"
"AMEX能源","732.00","17.30","2.42","17:06"
"NYSE能源","13904.13","296.29","2.18","17:05"
"費城油業","273.33","11.15","4.25","16:51"
"AMEX石油","1378.61","25.78","1.91","17:06"
"費城半導","363.49","10.67","3.02","16:51"
"NSDQ金融","2734.88","30.39","1.12","17:16"
"NYSE金融","7544.35","66.87","0.89","17:05"
"NBI生技","813.69","11.34","1.41","17:16"
"AMEX生技","733.23","8.86","1.22","17:06"
"費城藥物","186.50","2.01","1.09","16:51"
"加拿大","13282.30","194.92","1.49","17:05"
"巴西指數","62590.65","785.18","1.27","16:11"
"墨西哥","29306.76","436.80","1.51","15:06"
"阿根廷","2043.43","9.30","0.46","17:00"
"智利","2874.44","48.02","1.70","16:31"
"秘魯","16531.76","48.60","0.29","16:11"
"哥倫比亞","9166.48","17.30","0.19","13:34"
"百慕達","4897.57","135.89","2.85","17:20"
"牙買加","112268.71","706.86","0.63","12:59"

"分類指數行情"
"股市","指數","漲跌","比例","當地"
"波海乾貨航運","6712.00","192.00","2.94","02/12"
"波海海峽航運","10027.00","271.00","2.78","02/12"
"波海巴拿馬航運","6476.00","239.00","3.83","02/12"
"VIX波動率","24.88","-1.45","-5.51","16:14"
"DJ交通運輸","4774.59","41.37","0.87","16:30"
"道瓊公用事業","504.05","1.37","0.27","16:30"
"歐洲公用事業","334.47","1.20","0.36","17:45"
"全球公用事業","7726.37","5.18","0.07","16:15"
"ISE水指數","82.70","1.90","2.35","16:44"
"道瓊水指數","670.04","-0.66","-0.10","16:03"
"NSDQ純淨優勢","525.62","35.75","7.30","16:43"
"純淨科技","1380.07","53.49","4.03","16:44"
"WH創新能源","246.77","6.10","2.54","16:44"
"WH乾淨能源","235.71","13.98","6.30","16:44"
"全球乾淨能源","3121.53","183.28","6.24","16:34"
"ISE替代能源","55.15","2.68","5.11","16:44"
"全球替代能源","3309.86","164.69","5.24","16:33"
"生物能源","576.22","1.54","0.27","16:34"
"AMEX環境服務","1009.47","21.13","2.14","16:44"
"歐洲環境控制","162.47","1.68","1.04","17:45"
"美國環境控制","99.81","2.14","2.19","16:15"
