"亞洲股市行情 (Asian Markets)"
"股市","指數","漲跌","比例","時間"
"日經225","17958.88","83.13","0.47","close"
"東證一部","1767.88","12.20","0.69","close"
"東證二部","4057.63","21.11","0.52","close"
"JASDAQ","81.04","0.26","0.32","close"
"上海綜合","4000.74","-108.91","-2.65","06/01"
"上海A股","4197.08","-112.89","-2.62","06/01"
"上海B股","282.33","-19.29","-6.40","06/01"
"香港恆生","20602.87","-31.60","-0.15","06/01"
"香港國企","10874.45","135.13","1.26","06/01"
"香港紅籌","3613.70","-5.57","-0.15","06/01"
"台灣指數","8249.90","104.95","1.29","13:46"
"韓國指數","1716.24","15.33","0.90","18:05"
"新加坡","3548.32","37.19","1.06","17:05"
"馬來西亞","1360.07","13.18","0.98","17:00"
"菲律賓","3547.35","72.68","2.09","12:11"
"印尼股市","2084.32","28.93","1.41","05/31"
"越南股市","1077.36","-4.12","-0.38","14:27"
"泰國股市","753.93","16.53","2.24","17:01"
"印度股市","14570.75","26.29","0.18","18:45"
"澳洲股市","6363.50","21.70","0.34","17:47"
"日本不動產","4461.46","25.17","0.57","15:44"
"東證REIT","2582.90","-30.08","-1.15","15:00"
"澳洲不動產","1984.29","4.77","0.24","19:14"
"新加坡不動產","1583.87","-0.51","-0.03","05/31"
"恆生地產","24866.79","41.49","0.17","17:01"
"亞洲REIT","197.54","-1.62","-0.81","16:30"

"歐洲股市行情 (European Markets)"
"股市","指數","漲跌","比例","時間"
"俄羅斯","1829.50","49.17","2.76","06/01"
"英國指數","6676.70","55.30","0.83","21:30"
"法國指數","6168.15","64.15","1.05","06/01"
"德國指數","7987.85","104.81","1.33","06/01"
"道瓊歐洲","4556.97","44.32","0.98","06/01"
"土耳其","46490.14","-591.35","-1.26","06/01"
"匈牙利","27002.49","296.31","1.11","06/01"
"奧地利","4916.94","31.56","0.65","06/01"
"波蘭股市","64610.81","1044.66","1.64","06/01"
"捷克股市","1850.50","17.30","0.94","06/01"
"愛沙尼亞","906.71","1.79","0.20","06/01"
"拉托維亞","663.13","-3.23","-0.48","06/01"
"立陶宛","492.74","0.52","0.11","06/01"
"盧森堡","2539.24","14.85","0.59","06/01"
"義大利","33705.00","-19.00","-0.06","16:43"
"西班牙","1706.26","15.98","0.94","06/01"
"瑞士股市","9531.46","80.61","0.85","06/01"
"瑞典股市","1292.02","15.70","1.23","06/01"
"芬蘭股市","11594.06","150.48","1.31","06/01"
"挪威股市","418.98","4.43","1.07","06/01"
"英國不動產","2923.68","23.03","0.79","22:30"
"歐陸不動產","3236.42","11.14","0.34","22:09"
"歐洲不動產","3916.40","15.84","0.41","22:09"
"以色列","1126.37","8.40","0.75","05/31"
"埃及股市","69472.88","429.08","0.62","05/31"
"南非股市","26015.04","313.64","1.22","16:00"

"美洲股市行情 (American Markets)"
"股市","指數","漲跌","比例","時間"
"道瓊工業","13668.11","40.47","0.30","16:30"
"NASDAQ","2613.92","9.40","0.36","17:17"
"羅素2000","853.41","6.23","0.73","17:00"
"S&P 500","1536.34","5.72","0.37","17:00"
"DJ貴金屬","284.95","5.01","1.79","17:33"
"CBOE黃金","147.87","3.79","2.63","16:49"
"AMEX金蟲","342.84","8.64","2.58","16:36"
"費城金銀","142.42","2.66","1.90","06/01"
"費城油業","252.25","1.14","0.45","06/01"
"AMEX石油","1388.08","20.22","1.48","16:36"
"NYSE能源","13497.55","159.53","1.20","17:06"
"AMEX能源","689.87","7.30","1.07","16:36"
"費城半導","489.98","1.72","0.35","06/01"
"NSDQ金融","3283.04","21.93","0.67","17:17"
"NYSE金融","9980.74","46.84","0.47","17:06"
"ISE水指數","83.55","0.77","0.93","17:00"
"道瓊水指數","747.32","3.16","0.42","17:26"
"道瓊權益REIT","323.13","0.06","0.02","16:49"
"NBI生技","837.45","2.24","0.27","17:17"
"AMEX生技","826.80","1.58","0.19","16:36"
"費城藥物","216.38","0.07","0.03","06/01"
"加拿大","14119.37","62.59","0.45","17:05"
"巴西指數","53422.67","1154.21","2.21","17:15"
"墨西哥","31946.40","547.44","1.74","15:05"
"阿根廷","2249.36","6.33","0.28","06/01"
"智利","3304.57","25.04","0.76","18:31"

"商品價格 (Commodity)"
"商品","買價","漲跌","比例","時間"
"黃金","672.10","+10.00","+1.51","1:30"
"銀","13.73","+0.32","+2.39","1:30"
"白金","1297.00","+10.00","+0.78","1:29"
"鈀","379.00","+3.00","+0.80","1:16"
"銅","3.3430","-0.0370","-1.10","0:29"
"鎳","23.2519","+0.3780","+1.66","23:44"
"鋁","1.2484","-0.0029","-0.24","0:30"
"鋅","1.6992","-0.0038","-0.22","23:58"
"鉛","1.0682","+0.0079","+0.76","0:10"
"黃金期貨","676.900","10.200","01.53","1:48"
"銀期貨","13.740","0.270","02.00","1:36"
"銅期貨","7452.000","182.000","02.50","05/31"
"天然氣期","7.878","-0.057","-00.72","2:51"
"布蘭特油期","69.070","1.030","01.51","3:15"
"WTI原油期","65.080","1.070","01.67","2:50"
"玉米期貨","386.750","-3.500","-00.90","2:15"
"小麥期貨","520.750","3.750","00.73","2:15"
"可可粉期","1883.000","0.000","00.00","0:23"
"大豆期貨","817.500","11.250","01.40","2:15"
"咖啡C期","117.400","5.500","04.92","1:26"
"十一號糖","9.240","-0.100","-01.07","1:31"
"二號棉期","50.480","-0.570","-01.12","2:33"

"全球匯率 (Currency Exchange)"
"貨幣","匯率","漲跌","比例","時間"
"歐元/美元","1.3445","-0.0008","-0.0624","4:53"
"英鎊/美元","1.9825","0.0027","0.1364","4:53"
"美元/瑞士法郎","1.2299","0.0046","0.3713","4:53"
"美元/俄盧布","25.8940","0.0069","0.0267","4:53"
"美元/匈牙利幣","185.7000","-0.2400","-0.1291","4:51"
"美元/土耳其幣","1.3110","-0.0054","-0.4140","4:51"
"美元/南非幣","7.0900","-0.0275","-0.3864","4:52"
"美元/日圓","122.0950","0.3690","0.3031","4:53"
"美元/人民幣","7.6477","-0.0039","-0.0510","2:47"
"美元/港幣","7.8095","0.0014","0.0186","4:49"
