"亞洲股市指數行情"
"股市","指數","漲跌","比例","當地"
"紐西蘭","3209.56","30.38","0.96%","17:31"
"澳洲股市","4756.10","31.70","0.67%","16:33"
"日經225","10378.03","194.56","1.91%","12/22"
"東證一部","903.06","11.58","1.30%","12/22"
"東證二部","2044.11","14.62","0.72%","12/22"
"JASDAQ","47.69","0.25","0.53%","12/22"
"韓國股市","1661.35","5.81","0.35%","18:03"
"台灣加權","7901.50","45.50","0.58%","13:46"
"台灣店頭","141.41","1.58","1.13%","13:46"
"上海綜合","3073.78","23.26","0.76%","15:15"
"上海A股","3223.94","24.36","0.76%","15:15"
"上海B股","240.07","2.30","0.97%","15:15"
"深圳A股","1184.00","19.60","1.68%","15:00"
"深圳B股","593.99","7.04","1.20%","15:00"
"滬深300","3336.48","30.94","0.94%","15:01"
"深證成指","12813.29","165.78","1.31%","15:00"
"香港恆生","21328.74","236.70","1.12%","16:01"
"香港國企","12528.66","178.80","1.45%","16:01"
"香港紅籌","3910.46","17.96","0.46%","16:01"
"新加坡","2841.56","17.74","0.63%","17:10"
"海峽中國","294.89","3.96","1.36%","16:40"
"越南股市","470.75","5.51","1.18%","11:02"
"泰國股市","729.80","5.40","0.75%","16:59"
"菲律賓","3024.33","8.17","0.27%","12:11"
"馬來西亞","1260.53","0.11","0.01%","17:05"
"印尼股市","2474.88","7.25","0.29%","16:00"
"印度股市","17231.11","539.11","3.23%","16:00"
"巴基斯坦","6604.49","-19.44","-0.29%","15:44"

"歐洲股市指數非洲股市指數"
"股市","指數","漲跌","比例","當地"
"俄羅斯","1434.60","17.38","1.23%","12/23"
"英國股市","5372.38","43.72","0.82%","12/23"
"法國股市","3910.75","12.37","0.32%","12/23"
"德國股市","5957.44","11.75","0.20%","12/23"
"土耳其","51162.24","-370.28","-0.72%","12/23"
"匈牙利","20714.29","-20.89","-0.10%","12/23"
"奧地利","2463.09","-3.58","-0.15%","17:33"
"波蘭股市","39686.24","-110.70","-0.28%","12/23"
"捷克股市","1105.30","-6.20","-0.56%","12/23"
"瑞典股市","961.54","-0.34","-0.04%","12/23"
"芬蘭股市","6361.53","18.22","0.29%","12/23"
"挪威股市","339.41","1.27","0.38%","12/23"
"希臘股市","2207.94","-5.53","-0.25%","17:19"
"義大利","23486.15","118.41","0.51%","12/23"
"盧森堡","1341.18","10.17","0.76%","12/23"
"荷蘭股市","332.83","0.35","0.11%","12/23"
"冰島股市","487.96","-1.81","-0.37%","12/23"
"丹麥股市","335.08","0.83","0.25%","12/23"
"瑞士股市","6579.98","-2.92","-0.04%","12/23"
"西班牙","1245.65","8.21","0.66%","12/23"
"葡萄牙","2890.38","10.31","0.36%","12/23"
"愛爾蘭","3027.98","-4.40","-0.15%","12/23"
"以色列","1129.90","-0.20","-0.02%","12/23"
"埃及股市","589.49","1.13","0.19%","12/22"
"南非股市","24997.94","-32.49","-0.13%","12/23"
"約旦股市","2522.36","-0.02","-0.00%","12/23"
"杜拜股市","1735.70","-67.61","-3.75%","12/23"
"阿布達比","2693.81","-50.66","-1.85%","12/23"

"美洲股市指數行情"
"股市","指數","漲跌","比例","當地"
"道瓊工業","10466.44","1.51","0.01%","12/23"
"那斯達克","2269.64","16.97","0.75%","12/23"
"羅素兩千","630.98","7.38","1.18%","12/23"
"S&P 五百","1120.59","2.57","0.23%","12/23"
"費城金銀","171.37","5.42","3.27%","12/23"
"DJ貴金屬","345.20","10.37","3.10%","16:10"
"CBOE黃金","203.19","6.31","3.21%","12/23"
"AMEX金蟲","436.67","13.63","3.22%","12/23"
"AMEX能源","577.49","4.08","0.71%","12/23"
"NYSE能源","11461.79","97.17","0.86%","12/23"
"費城油業","196.89","2.98","1.54%","12/23"
"AMEX石油","1070.81","5.38","0.50%","12/23"
"費城半導","355.37","0.65","0.18%","12/23"
"NSDQ金融","2009.82","3.64","0.18%","12/23"
"NYSE金融","4732.62","8.41","0.18%","12/23"
"NBI生技","843.78","2.44","0.29%","12/23"
"AMEX生技","938.82","4.70","0.50%","12/23"
"費城藥物","185.90","-0.12","-0.07%","12/23"
"加拿大","11658.70","30.72","0.26%","12/23"
"巴西股市","67588.86","170.93","0.25%","12/23"
"墨西哥","32450.23","209.91","0.65%","16:29"
"阿根廷","2249.35","8.26","0.37%","12/23"
"智利股市","3523.46","8.76","0.25%","12/23"
"秘魯股市","14018.18","228.62","1.66%","12/23"
"哥倫比亞","11511.72","-53.86","-0.47%","12/23"
"委內瑞拉","54910.55","-135.48","-0.25%","12/23"
"百慕達","2105.78","0.00","0.00%","12/22"
"牙買加","82031.42","315.23","0.39%","12/23"

"分類指數行情"
"股市","指數","漲跌","比例","當地"
"波海乾散貨運","3063.00","-91.00","-2.88%","12/22"
"波海海峽航運","4041.00","-243.00","-5.67%","12/22"
"波海巴拿馬航","3498.00","38.00","1.10%","12/22"
"VIX波動率","19.71","0.17","0.87%","16:14"
"VXD道瓊波動","17.48","0.16","0.92%","16:29"
"VXN納指波動","19.67","-0.03","-0.15%","16:14"
"道瓊歐洲","2957.48","11.77","0.40%","19:00"
"道瓊交通運輸","4183.53","18.47","0.44%","16:30"
"道瓊公用事業","400.79","-0.18","-0.04%","16:30"
"全球公用事業","5620.02","20.75","0.37%","16:20"
"ISE水指數","73.96","0.46","0.63%","16:29"
"道瓊水指數","608.11","-0.04","-0.01%","16:05"
"純淨科技","1057.43","6.90","0.66%","16:41"
"WH創新能源","217.52","2.30","1.07%","16:41"
"WH乾淨能源","112.61","0.61","0.55%","16:41"
"全球乾淨能源","1395.95","9.64","0.69%","16:15"
"ISE替代能源","29.55","0.13","0.44%","16:29"
"全球替代能源","1909.79","12.48","0.66%","16:14"
"ET50環境科技","162.54","0.81","0.50%","21:20"
"生物能源","264.08","0.92","0.35%","16:14"
"環境服務","852.09","14.81","1.77%","16:41"
"Clvrt社會責任","70.20","0.21","0.30%","15:57"
"ISE邪惡指數","102.57","0.58","0.57%","16:29"
"道瓊美國博奕","334.63","4.67","1.42%","16:05"
"snet全球博奕","2840.76","26.07","0.93%","16:20"
"道瓊美國礦產","196.91","6.10","3.20%","16:00"
"道瓊世界原料","297.01","4.51","1.54%","16:17"
"msci世界能源","221.41","0.94","0.43%","12/22"
"msci世界原料","228.67","3.36","1.49%","12/23"

"分類指數行情"
"股市","指數","漲跌","比例","當地"
"羅素大中華","1786.98","11.43","0.64%","12/22"
"Dax全球農金","453.48","3.78","0.84%","12/23"
"Rogers商品","3201.99","56.94","1.81%","14:30"
"Rogers能源","707.81","5.16","0.73%","12/22"
"Rogers金屬","2251.14","-18.12","-0.80%","12/22"
"Rogers農產","970.62","-3.16","-0.32%","12/22"
"澳洲不動產","642.21","3.75","0.59%","18:15"
"日本不動產","1610.35","19.56","1.23%","12/22"
"東證REIT","861.10","2.99","0.35%","12/22"
"恆生地產","27308.41","499.10","1.86%","12/23"
"星國不動產","941.22","17.01","1.84%","12/22"
"亞洲REIT","116.86","0.40","0.34%","12/22"
"英國不動產","1073.43","2.55","0.24%","17:35"
"歐陸不動產","1664.83","0.07","0.00%","18:00"
"歐洲不動產","1725.28","10.66","0.62%","18:00"
"道權益reit","185.03","2.09","1.14%","16:34"

"分類指數行情"
"股市","指數","漲跌","比例","當地"
"CRB指數","279.36","4.47","1.63%","12/23"
"高盛綜合商品","356.24","7.38","2.12%","12/23"
"高盛商品","430.22","10.20","2.43%","12/23"
"高盛農產品","58.61","0.47","0.82%","12/23"
"高盛牲畜","197.93","2.03","1.03%","12/23"
"高盛貴金屬","161.21","1.12","0.70%","12/23"
"高盛基本金屬","245.85","4.27","1.77%","12/23"
"高盛能源","266.90","7.80","3.01%","12/23"
"天然氣","551.35","5.71","1.05%","12/23"
"AMEX航空","34.67","0.50","1.46%","12/23"
"銀行","42.87","-0.49","-1.13%","12/23"
"醫療服務","497.16","5.33","1.08%","12/23"
"電腦科技","884.68","5.43","0.62%","12/23"
"電腦硬體","303.74","4.12","1.38%","12/23"
"保險","3620.94","7.11","0.20%","12/23"
"美國紙業","101.90","1.15","1.14%","12/23"
"零售業","417.95","2.19","0.53%","12/23"
"券商指數","115.97","0.73","0.63%","12/23"
"美元指數","77.90","-0.38","-0.48%","12/23"
"歐元指數","143.29","0.86","0.60%","12/23"
"英鎊指數","159.58","0.03","0.02%","12/23"
"日圓指數","109.08","0.21","0.19%","12/23"
"澳幣指數","87.93","0.38","0.43%","12/23"
"30年債券價格","115.94","-0.16","-0.13%","12/23"
"30年債殖利率","46.03","-0.02","-0.04%","12/23"
"10年期票利率","37.48","0.04","0.11%","12/23"
"5年期票利率","24.78","0.25","1.02%","12/23"
"3月期票利率","0.55","-0.15","-21.43%","12/23"
"Put/Call比例","0.82","0.24","41.38%","12/23"

"商品價格 (Commodity)"
"商品","買價","漲跌","比例","台北"
"黃金  (盎司)","1087.20","3.00","0.28%","5:54"
"銀  (盎司)","17.13","0.14","0.83%","5:50"
"白金  (盎司)","1425.00","25.00","1.79%","5:13"
"鈀  (盎司)","361.00","3.00","0.85%","5:29"
"銅  (磅)","3.1714","-0.00","-0.07%","3:28"
"鎳  (磅)","8.3166","0.03","0.33%","3:23"
"鋁  (磅)","1.0052","-0.00","-0.14%","5:03"
"鋅  (磅)","1.1328","-0.00","-0.20%","3:10"
"鉛  (磅)","1.0523","0.00","0.00%","3:24"
"鈾  (磅)","45.00","0.00","0.00%","12/21"
"黃金期貨","1088.000","1.300","0.12%","5:29"
"銀期貨","17.130","0.100","0.59%","5:28"
"銅期貨","320.200","6.400","2.04%","5:29"
"天然氣期","5.840","0.125","2.19%","5:28"
"布蘭特油期","75.470","2.010","2.74%","5:23"
"紐約輕原油","76.660","2.260","3.04%","5:29"
"燃油期貨","201.400","6.540","3.36%","5:27"
"玉米期貨","404.750","6.000","1.50%","3:15"
"小麥期貨","529.000","6.000","1.15%","3:15"
"可可粉期","3251.000","-14.000","-0.43%","3:00"
"黃豆期貨","1009.000","10.500","1.05%","3:15"
"黃豆油期貨","38.480","0.030","0.08%","3:15"
"咖啡C期","142.650","0.200","0.14%","3:00"
