"亞洲股市行情 (Asian Markets)"
"股市","指數","漲跌","比例","時間"
"日經225","17399.58","-99.02","-0.57","close"
"東證一部","1695.69","-11.58","-0.68","close"
"東證二部","3937.39","-28.57","-0.72","close"
"JASDAQ","77.95","-1.02","-1.29","close"
"上海綜合","4030.26","-18.03","-0.45","05/18"
"上海A股","4218.92","-19.50","-0.46","05/18"
"上海B股","360.67","3.53","0.99","05/18"
"香港恆生","20904.84","-89.77","-0.43","05/18"
"香港國企","10859.17","-87.73","-0.80","05/18"
"香港紅籌","3626.30","15.58","0.43","05/18"
"台灣指數","8034.14","-3.82","-0.05","13:46"
"韓國指數","1612.25","-3.33","-0.21","05/18"
"新加坡","3512.40","-13.11","-0.37","17:05"
"馬來西亞","1356.84","-2.53","-0.19","05/18"
"菲律賓","3449.18","31.49","0.92","12:11"
"印尼股市","2063.76","25.98","1.27","05/16"
"越南股市","1066.56","6.77","0.64","05/18"
"泰國股市","728.76","4.39","0.61","17:01"
"印度股市","14303.41","3.70","0.03","16:28"
"澳洲股市","6319.70","-50.40","-0.79","17:17"
"日本不動產","4377.43","-36.85","-0.83","05/18"
"東證REIT","2602.82","8.98","0.35","05/18"
"澳洲不動產","1932.41","-16.68","-0.86","05/18"
"新加坡不動產","1594.92","-10.34","-0.64","06:29"
"恆生地產","25440.56","-398.60","-1.54","05/18"
"亞洲REIT","198.85","0.18","0.09","05/18"

"歐洲股市行情 (European Markets)"
"股市","指數","漲跌","比例","時間"
"英國指數","6640.90","61.60","0.94","05/18"
"法國指數","6101.14","74.14","1.23","17:10"
"德國指數","7607.54","108.04","1.44","05/18"
"俄羅斯","1859.70","16.46","0.89","05/18"
"道瓊歐洲","4480.81","52.24","1.18","20:30"
"土耳其","46073.29","213.25","0.47","5/18"
"匈牙利","25880.18","192.83","0.75","05/18"
"奧地利","4818.82","51.57","1.08","05/18"
"波蘭股市","59952.26","601.96","1.01","05/18"
"捷克股市","1836.00","21.60","1.19","05/18"
"愛沙尼亞","922.61","4.63","0.50","05/18"
"拉托維亞","671.65","-0.72","-0.11","05/18"
"立陶宛","491.70","5.48","1.13","05/18"
"盧森堡","2485.38","9.71","0.39","05/18"
"義大利","34365.00","297.00","0.87","16:43"
"西班牙","1661.83","11.17","0.68","05/18"
"瑞士股市","9424.69","67.16","0.72","16:31"
"瑞典股市","1269.46","10.19","0.81","05/18"
"芬蘭股市","11104.83","78.06","0.71","05/18"
"挪威股市","407.93","6.95","1.73","05/18"
"英國不動產","2883.46","-18.30","-0.63","22:29"
"歐陸不動產","3112.19","28.41","0.92","22:29"
"歐洲不動產","3816.81","8.04","0.21","22:29"
"以色列","1114.75","-10.02","-0.89","05/17"
"埃及股市","66357.94","135.81","0.20","05/17"
"南非股市","25375.08","441.57","1.77","05/18"

"美洲股市行情 (American Markets)"
"股市","指數","漲跌","比例","時間"
"道瓊工業","13556.53","79.81","0.59","16:30"
"NASDAQ","2558.45","19.07","0.75","17:17"
"羅素2000","823.66","8.02","0.98","16:59"
"S&P 500","1522.75","10.00","0.66","16:59"
"DJ貴金屬","273.00","3.21","1.19","17:28"
"CBOE黃金","141.89","2.23","1.60","16:49"
"AMEX金蟲","328.59","6.00","1.86","17:59"
"費城金銀","136.75","1.78","1.32","05/18"
"費城油業","252.03","4.22","1.70","16:45"
"AMEX石油","1348.94","23.14","1.75","17:59"
"NYSE能源","13332.39","219.42","1.67","17:06"
"AMEX能源","678.70","11.40","1.71","18:00"
"費城半導","491.71","-0.59","-0.12","16:45"
"NSDQ金融","3177.94","28.88","0.92","17:17"
"NYSE金融","9878.94","35.63","0.36","17:06"
"ISE水指數","79.98","0.88","1.11","17:00"
"道瓊水指數","719.42","9.51","1.34","17:21"
"道瓊權益REIT","304.21","-3.34","-1.09","16:49"
"NBI生技","822.35","4.71","0.58","17:17"
"AMEX生技","808.66","4.25","0.53","17:59"
"費城藥物","219.01","1.71","0.79","16:45"
"加拿大","14105.34","4.63","0.03","05/18"
"巴西指數","52077.68","446.21","0.86","17:20"
"墨西哥","30676.34","197.97","0.65","15:06"
"阿根廷","2186.39","14.76","0.68","05/18"
"智利","3257.23","41.04","1.28","18:08"

"商品價格 (Commodity)"
"商品","買價","漲跌","比例","時間"
"黃金","662.10","+4.50","+0.69","1:29"
"銀","12.99","+0.13","+1.02","1:28"
"白金","1326.00","+9.00","+0.68","1:25"
"鈀","364.00","0.00","0.00","1:12"
"銅","3.4428","+0.0000","+0.00","2:29"
"鎳","24.2800","+0.0000","+0.00","2:29"
"鋁","1.2700","+0.0000","+0.00","2:29"
"鋅","1.7052","+0.0000","+0.00","2:29"
"鉛","0.9563","+0.0000","+0.00","2:29"
"黃金期貨","662.000","4.800","00.73","1:39"
"銀期貨","13.003","0.120","00.93","1:33"
"銅期貨","7290.000","-356.000","-04.66","05/17"
"天然氣期","7.944","-0.131","-01.62","2:50"
"WTI原油期","64.940","0.080","00.12","3:04"
"玉米期貨","366.500","-4.000","-01.08","2:15"
"小麥期貨","471.250","-14.250","-02.94","2:15"
"可可粉期","1947.000","53.000","02.80","0:23"
"大豆期貨","792.500","-0.250","-00.03","2:15"
"咖啡C期","111.800","-1.300","-01.15","1:01"
"十一號糖","8.630","-0.050","-00.58","1:13"
"二號棉期","49.760","0.170","00.34","2:31"

"全球匯率 (Currency Exchange)"
"貨幣","匯率","漲跌","比例","時間"
"歐元/美元","1.3508","0.0014","0.1000","4:23"
"英鎊/美元","1.9748","0.0000","0.0023","4:23"
"美元/瑞士法郎","1.2270","-0.0001","-0.0114","4:23"
"美元/俄盧布","25.8300","-0.0115","-0.0445","4:23"
"美元/匈牙利幣","185.2900","-0.0750","-0.0405","4:21"
"美元/土耳其幣","1.3255","-0.0015","-0.1130","4:22"
"美元/南非幣","6.9977","-0.0350","-0.4984","4:23"
"美元/日圓","121.1100","-0.1950","-0.1608","4:22"
"美元/人民幣","7.6695","-0.0012","-0.0156","0:32"
"美元/港幣","7.8182","-0.0023","-0.0294","4:16"
"美元/台幣","33.3550","0.0090","0.0270","22:51"
"美元/韓圜","934.0500","5.9501","0.6411","23:04"
"美元/泰銖","32.9300","-0.6100","-1.8187","4:04"
"美元/新元","1.5261","0.0016","0.1082","4:23"
"美元/馬來幣","3.3925","-0.0086","-0.2529","23:53"
"美元/印尼盾","8820.0000","10.0000","0.1135","4:01"
"美元/印度盧比","40.7150","-0.1250","-0.3061","20:09"
"澳幣/美元","0.8236","-0.0001","-0.0121","4:21"
"紐幣/美元","0.7304","-0.0004","-0.0547","4:23"
"美元/巴西幣","1.9585","-0.0050","-0.2546","4:02"
"美元/墨披索","10.8000","-0.0104","-0.0967","4:23"
"美元/加幣","1.0899","-0.0100","-0.9132","4:23"

"MSCI 指數"
"MSCI","指數","漲跌","YTD","日期"
"金磚四國","307.835","0.554%","8.494","5/18"
"中國","56.698","-0.456%","8.904","5/18"
"印度","441.190","0.487%","12.941","5/18"
"俄羅斯","1153.023","1.564%","-7.779","5/18"
"巴西","2706.815","0.818%","22.734","5/18"
"新興市場","1005.706","0.253%","10.196","5/18"
"新興亞洲","404.484","-0.376%","8.889","5/18"
"新興東歐","299.477","1.352%","-3.217","5/18"
"新興拉美","3595.947","0.891%","20.038","5/18"
"世界","398.429","0.549%","8.333","5/18"
"歐洲","583.752","0.97%","9.822","5/18"
"遠東ex日本","462.223","-0.549%","8.6","5/18"
"中華","309.617","-0.69%","6.989","5/18"
"歐洲小型","338.103","0.518%","12.636","5/18"
"日本小型","99.176","-1.558%","-2.858","5/18"
"美國小型","315.931","0.869%","5.6","5/18"
"世界小型","255.922","0.327%","8.27","5/18"
"日本","3196.507","-0.519%","-0.367","5/18"
"香港","7581.626","-0.998%","4.576","5/18"
"世界能源","264.89","4.19","1.61","05/18"
"世界原料","263.80","1.13","0.43","05/18"

