"亞洲股市行情 (Asian Markets)"
"股市","指數","漲跌","比例","時間"
"日經225","18066.11","-21.37","-0.12","close"
"東證一部","1765.87","1.00","0.06","close"
"東證二部","4159.07","-30.38","-0.73","close"
"JASDAQ","81.95","-1.18","-1.42","close"
"上海綜合","3973.37","32.29","0.82","06/26"
"上海A股","4169.01","32.40","0.78","06/26"
"上海B股","275.25","14.81","5.69","06/26"
"香港恆生","21803.57","-18.78","-0.09","06/26"
"香港國企","11917.10","-123.80","-1.03","06/26"
"香港紅籌","4139.30","-9.09","-0.22","06/26"
"台灣指數","8865.75","-73.44","-0.82","13:46"
"韓國指數","1749.55","-8.18","-0.47","18:03"
"新加坡","3525.10","-55.23","-1.54","17:05"
"馬來西亞","1366.99","-10.14","-0.74","17:00"
"菲律賓","3657.12","3.54","0.10","12:11"
"印尼股市","2153.54","1.34","0.06","17:09"
"越南股市","1055.70","11.31","1.08","14:32"
"泰國股市","766.97","2.85","0.37","17:01"
"印度股市","14501.08","13.36","0.09","16:28"
"斯里蘭卡","2572.27","7.28","0.28","14:16"
"巴基斯坦","9601.79","23.37","0.24","13:16"
"澳洲股市","6337.30","-21.30","-0.34","17:47"
"紐西蘭","4252.03","-18.88","-0.44","14:34"

"歐洲股市行情 (European Markets)"
"股市","指數","漲跌","比例","時間"
"俄羅斯","1897.30","21.98","1.17","06/26"
"英國指數","6559.30","-29.10","-0.44","06/26"
"法國指數","5953.36","-49.49","-0.82","06/26"
"德國指數","7860.52","-70.09","-0.88","06/26"
"道瓊歐洲","4433.04","-38.09","-0.85","06/26"
"土耳其","46010.13","593.08","1.31","06/26"
"匈牙利","29441.80","836.90","2.93","06/26"
"奧地利","4805.12","-29.13","-0.60","06/26"
"波蘭股市","66578.68","777.74","1.18","06/26"
"捷克股市","1851.40","14.50","0.79","06/26"
"盧森堡","2511.92","-21.63","-0.85","6/26"
"義大利","32608.00","-337.00","-1.02","16:43"
"西班牙","1626.24","-10.47","-0.64","06/26"
"瑞士股市","9073.33","-67.90","-0.74","06/26"
"瑞典股市","1244.47","-5.69","-0.46","06/26"
"芬蘭股市","11309.43","-38.25","-0.34","06/26"
"挪威股市","417.91","-2.13","-0.51","06/26"
"以色列","1119.14","-1.38","-0.12","06/26"
"埃及股市","69769.28","380.78","0.55","6/26"
"南非股市","25989.18","-150.52","-0.58","06/26"
"摩洛哥","24130.91","-26.92","-0.11","06/26"
"約旦指數","5787.63","-14.38","-0.25","6/26"
"杜拜指數","4383.93","-73.16","-1.64","06/26"

"美洲股市行情 (American Markets)"
"股市","指數","漲跌","比例","時間"
"道瓊工業","13337.66","-14.39","-0.11","16:30"
"NASDAQ","2574.16","-2.92","-0.11","17:16"
"羅素2000","826.13","-1.33","-0.16","16:59"
"S&P 500","1492.89","-4.85","-0.32","16:59"
"DJ貴金屬","268.96","-6.45","-2.34","17:30"
"CBOE黃金","137.25","-3.72","-2.64","16:49"
"AMEX金蟲","321.18","-7.89","-2.40","17:13"
"費城金銀","132.71","-3.53","-2.59","06/26"
"費城油業","260.58","-4.78","-1.80","6/26"
"AMEX石油","1383.25","-22.42","-1.59","17:13"
"NYSE能源","13532.60","-171.38","-1.25","17:06"
"AMEX能源","682.19","-11.96","-1.72","17:13"
"費城半導","495.89","-1.29","-0.26","6/26"
"NSDQ金融","3136.85","-0.80","-0.03","17:16"
"NYSE金融","9564.49","-20.07","-0.21","17:06"
"NBI生技","795.47","1.16","0.15","17:16"
"AMEX生技","765.03","0.24","0.03","17:13"
"費城藥物","207.53","1.33","0.65","06/26"
"加拿大","13663.88","-177.98","-1.29","6/26"
"巴西指數","53851.68","-189.89","-0.35","06/26"
"墨西哥","30744.71","-551.30","-1.76","15:05"
"阿根廷","2195.64","-7.27","-0.33","6/26"
"智利","3418.25","-27.19","-0.79","18:31"

"分類指數行情"
"股市","指數","漲跌","比例","時間"
"DJ交通運輸","5076.57","-48.27","-0.94","16:30"
"DJ建商","543.18","-13.05","-2.35","17:22"
"S&P建商","652.40","-17.01","-2.54","17:00"
