"亞洲股市指數行情"
"股市","指數","漲跌","比例","當地"
"紐西蘭","9010.608","70.42","0.79%","18:48"
"澳洲股市","6357.90","-2.40","-0.04%","17:37"
"日經225","22593.50","182.68","0.82%","14:59"
"東證一部","1709.20","10.98","0.65%","15:00"
"東證二部","7104.53","52.68","0.75%","15:00"
"JASDAQ","163.15","0.78","0.48%","15:00"
"韓國股市","2293.21","10.61","0.46%","18:03"
"台灣加權","10809.35","-53.78","-0.50%","13:33"
"台灣店頭","139.44","-1.56","-1.11%","13:33"
"上海綜合","2729.43","4.81","0.18%","15:14"
"上海A股","2858.35","5.08","0.18%","15:14"
"上海B股","285.35","-0.99","-0.35%","15:14"
"深圳A股","1526.67","-3.51","-0.23%","16:29"
"深圳B股","1005.58","-2.99","-0.30%","16:29"
"滬深300","3325.33","5.31","0.16%","15:14"
"深證成指","8484.74","-16.65","-0.20%","16:29"
"中小板指","7537.11","53.21","0.71%","14:00"
"創業板指","1450.09","-5.41","-0.37%","16:29"
"香港恆生","27671.87","-118.59","-0.43%","16:00"
"香港國企","10779.71","-34.89","-0.32%","16:08"
"香港紅籌","4219.02","7.73","0.18%","16:08"
"香港創業板","195.35","-0.43","-0.22%","16:27"
"新加坡","3213.00","-36.89","-1.14%","17:10"
"菲律賓","7766.47","-37.56","-0.48%","15:20"
"馬來西亞","1808.59","-2.28","-0.13%","17:05"
"越南股市","987.05","-0.31","-0.03%","15:01"
"泰國股市","1703.82","-0.98","-0.06%","16:51"
"印尼股市","5968.75","-14.23","-0.24%","16:15"
"印度股市","38251.80","-84.96","-0.22%","17:47"
"巴基斯坦","30889.64","124.83","0.41%","16:39"
"蒙古股市","19170.64","-5.82","-0.03%","20:00"

"歐洲股市指數非洲股市指數"
"股市","指數","漲跌","比例","當地"
"俄羅斯","1064.46","20.47","1.96%","18:51"
"英國股市","7577.49","14.27","0.19%","16:34"
"法國股市","5432.50","13.18","0.24%","17:35"
"德國股市","12394.52","28.94","0.23%","17:34"
"土耳其","90185.99","1451.23","1.64%","08/20"
"烏克蘭","1552.79","0.00","0.00%","07/06"
"匈牙利","36192.13","5.82","0.02%","17:05"
"奧地利","3295.07","4.40","0.13%","17:45"
"波蘭股市","59900.47","-143.98","-0.24%","17:15"
"捷克股市","1072.86","-7.05","-0.65%","16:35"
"希臘股市","724.85","-6.34","-0.87%","17:19"
"義大利","22974.17","119.14","0.52%","17:43"
