"亞洲股市指數行情"
"股市","指數","漲跌","比例","當地"
"紐西蘭","2738.28","-3.40","-0.12%","18:31"
"澳洲股市","3790.60","29.20","0.78%","17:47"
"日經225","9287.28","-3.78","-0.04%","16:00"
"東證一部","872.50","-1.41","-0.16%","15:00"
"東證二部","2161.64","-8.65","-0.40%","15:00"
"JASDAQ","47.78","-0.31","-0.64%","15:00"
"韓國指數","1428.62","-2.27","-0.16%","18:04"
"台灣加權","6769.86","21.68","0.32%","13:46"
"台灣店頭","107.61","-0.21","-0.19%","13:46"
"上海綜合","3113.93","-9.10","-0.29%","15:15"
"上海A股","3268.94","-9.62","-0.29%","15:15"
"上海B股","198.85","0.35","0.18%","15:15"
"深圳A股","1095.91","5.49","0.50%","15:00"
"深圳B股","512.77","2.10","0.41%","15:00"
"滬深300","3398.31","2.01","0.06%","15:01"
"深證成指","12706.01","68.07","0.54%","15:00"
"香港恆生","17708.42","-82.17","-0.46%","16:01"
"香港國企","10574.42","-66.77","-0.63%","16:01"
"香港紅籌","3679.69","-29.68","-0.80%","16:01"
"新加坡","2307.98","0.37","0.02%","17:10"
"龍籌股","81.27","-1.32","-1.60%","07/10"
"越南股市","438.83","-7.57","-1.70%","11:01"
"泰國股市","566.03","-15.96","-2.74%","16:59"
"菲律賓","2487.22","13.37","0.54%","12:11"
"馬來西亞","1067.76","2.08","0.20%","17:05"
"印尼股市","2063.09","-20.88","-1.00%","16:00"
"印度股市","13504.22","-253.24","-1.84%","15:58"
"巴基斯坦","5349.55","47.89","0.90%","14:44"

"歐洲股市指數非洲股市指數"
"股市","指數","漲跌","比例","當地"
"俄羅斯","835.23","-49.71","-5.62%","07/10"
"英國指數","4127.17","-31.49","-0.76%","07/10"
"法國指數","2983.10","-42.84","-1.42%","07/10"
"德國指數","4576.31","-53.76","-1.16%","07/10"
"土耳其","36780.49","-207.19","-0.56%","07/10"
"匈牙利","14325.71","-261.08","-1.79%","07/10"
"奧地利","1960.10","-15.29","-0.77%","07/10"
"波蘭股市","29611.48","-329.17","-1.10%","07/10"
