"亞洲股市指數行情"
"股市","指數","漲跌","比例","當地"
"紐西蘭","8250.44","-114.46","-1.37%","01/10"
"澳洲股市","6176.241","-29.62","-0.48%","17:09"
"日經225","23710.43","-77.77","-0.33%","15:15"
"東證一部","1888.09","-4.02","-0.21%","15:00"
"東證二部","7458.84","-37.29","-0.50%","01/11"
"JASDAQ","182.07","-0.17","-0.09%","15:00"
"韓國股市","2487.91","-11.84","-0.47%","18:01"
"台灣加權","10810.06","-21.03","-0.19%","01/11"
"台灣店頭","150.00","0.06","0.04%","13:33"
"上海綜合","3425.345","3.51","0.10%","16:30"
"上海A股","3587.505","3.70","0.10%","16:30"
"上海B股","345.15","-0.44","-0.13%","01/11"
"深圳A股","2042.62","7.83","0.38%","01/11"
"深圳B股","1204.53","-0.64","-0.05%","01/11"
"滬深300","4205.59","-2.22","-0.05%","15:01"
"深證成指","11464.2","27.12","0.24%","15:00"
"中小板指","7537.11","53.21","0.71%","15:00"
"創業板指","1804.23","13.15","0.73%","15:00"
"香港恆生","31120.39","46.67","0.15%","16:08"
"香港國企","12295.52","6.35","0.05%","16:08"
"香港紅籌","4609.63","-2.41","-0.05%","15:00"
"香港創業板","262.55","0.35","0.13%","16:25"
"新加坡","3512.68","-7.77","-0.22%","17:10"
"菲律賓","8813.25","-107.04","-1.20%","15:20"
"馬來西亞","1816.88","-6.04","-0.33%","17:05"
"越南股市","1048.17","10.06","0.97%","15:01"
"泰國股市","1802.8","7.88","0.44%","17:08"
"印尼股市","6386.34","15.17","0.24%","01/11"
"印度股市","34503.49","70.42","0.20%","17:33"
"巴基斯坦","31291.75","-143.35","-0.46%","15:43"
"蒙古股市","20746.16","100.43","0.49%","20:00"

"歐洲股市指數非洲股市指數"
"股市","指數","漲跌","比例","當地"
"俄羅斯","1248.75","14.11","1.14%","01/11"
"英國股市","7762.94","14.43","0.19%","16:35"
"法國股市","5488.55","-16.13","-0.29%","18:05"
"德國股市","13202.9","-78.44","-0.59%","18:30"
"土耳其","114719","1129","0.99%","17:10"
"烏克蘭","1510.38","63.01","4.35%","01/11"
"匈牙利","39772.75","121.52","0.31%","01/11"
"奧地利","3600.94","4.80","0.13%","17:45"
"波蘭股市","65379.88","495.15","0.76%","17:15"
"捷克股市","1107.68","5.95","0.54%","01/11"
"希臘股市","846.98","10.70","1.28%","01/11"
"義大利","25718.26","147.98","0.58%","17:43"
"西班牙","1055.49","0.77","0.07%","01/11"
"葡萄牙","3083.18","-5.29","-0.17%","01/11"
"愛爾蘭","7041.04","-61.19","-0.86%","01/11"
"比利時","4155.31","-2.24","-0.05%","18:05"
"盧森堡","1706.565","12.35","0.73%","17:35"
"荷蘭股市","558.89","-1.55","-0.28%","01/11"
"冰島股市","1338.71","7.00","0.53%","01/11"
"芬蘭股市","9754.66","-26.52","-0.27%","01/11"
"瑞典股市","1630.287","1.00","0.06%","17:35"
"挪威股市","766.33","-0.54","-0.07%","01/11"
"丹麥股市","1036.62","-8.78","-0.84%","01/11"
"瑞士股市","9503.85","-21.11","-0.22%","01/11"
"以色列","1531.65","14.76","0.97%","01/11"
"埃及股市","1480.71","13.00","0.89%","01/11"
"南非股市","52823.20","-350.20","-0.66%","01/11"
"約旦股市","2121.35","0.33","0.02%","01/11"
"杜拜股市","3494.63","-4.73","-0.14%","14:00"
"阿布達比","4288.86","9.55","0.22%","11/20"
"奈及利亞","43041.54","1225.43","2.93%","14:30"

"美洲股市指數行情"
"股市","指數","漲跌","比例","當地"
"道瓊工業","25574.73","205.60","0.81%","01/11"
"NASDAQ","7211.78","58.21","0.81%","01/11"
"NYSE綜合","13210.77","104.17","0.79%","01/11"
"S&P 500","2767.56","19.33","0.70%","01/11"
"羅素3000","1637.376","13.42","0.83%","16:30"
"羅素3000成長","1133.39","-5.56","-0.49%","11:29"
"羅素3000價值","1643.42","-0.29","-0.02%","01/10"
"羅素1000","1533.063","11.46","0.75%","16:30"
"羅素2000","1586.787","26.99","1.73%","16:30"
