"亞洲股市指數行情"
"股市","指數","漲跌","比例","當地"
"紐西蘭","3392.02","9.60","0.28%","18:31"
"澳洲股市","4539.40","-0.50","-0.01%","17:40"
"日經225","9889.72","-84.75","-0.85%","15:28"
"東證一部","853.75","-5.61","-0.65%","15:00"
"東證二部","2317.70","-7.15","-0.31%","15:00"
"JASDAQ","52.53","0.10","0.19%","15:11"
"韓國股市","2130.21","-0.27","-0.01%","18:05"
"台灣加權","8524.57","-14.00","-0.16%","13:46"
"台灣店頭","129.24","0.35","0.27%","13:46"
"上海綜合","2796.98","-19.70","-0.70%","15:15"
"上海A股","2929.58","-20.65","-0.70%","15:15"
"上海B股","284.76","-1.82","-0.63%","15:15"
"深圳A股","1274.51","-16.29","-1.26%","15:00"
"深圳B股","743.13","-7.02","-0.94%","15:00"
"滬深300","3095.12","-27.48","-0.88%","15:01"
"深證成指","12381.50","-109.09","-0.87%","15:00"
"香港恆生","21902.40","97.65","0.45%","16:01"
"香港國企","12297.00","38.51","0.31%","16:01"
"香港紅籌","4139.79","4.71","0.11%","16:01"
"新加坡","3096.12","17.17","0.56%","17:10"
"海峽中國","283.61","1.06","0.38%","16:40"
"越南股市","410.12","-5.65","-1.36%","11:01"
"泰國股市","1096.77","12.83","1.18%","17:01"
"菲律賓","4485.65","9.64","0.22%","14:00"
"馬來西亞","1555.64","-6.94","-0.44%","16:05"
"印尼股市","4023.42","-9.56","-0.24%","16:00"
"印度股市","18653.90","146.83","0.79%","18:00"
"巴基斯坦","8621.88","80.95","0.95%","16:13"

"歐洲股市指數非洲股市指數"
"股市","指數","漲跌","比例","當地"
"俄羅斯","1926.23","21.94","1.15%","07/19"
"英國股市","5789.99","37.18","0.65%","07/19"
"法國股市","3694.95","44.24","1.21%","07/19"
"德國股市","7192.67","84.75","1.19%","07/19"
"土耳其","61840.10","-184.87","-0.30%","07/19"
"匈牙利","21353.60","76.17","0.36%","07/19"
"奧地利","2598.94","24.22","0.94%","07/19"
"波蘭股市","46651.80","-88.53","-0.19%","07/19"
"捷克股市","1185.50","-1.20","-0.10%","07/19"
"瑞典股市","1076.71","20.59","1.95%","07/19"
"芬蘭股市","6224.79","53.02","0.86%","07/19"
"挪威股市","381.84","4.25","1.13%","07/19"
"希臘股市","1187.74","16.04","1.37%","07/19"
"義大利","18946.00","318.35","1.71%","07/19"
"盧森堡","1356.64","8.05","0.60%","07/19"
"荷蘭股市","326.17","3.00","0.93%","07/19"
"冰島股市","632.19","0.26","0.04%","07/19"
"丹麥股市","431.34","2.24","0.52%","07/19"
"瑞士股市","5896.55","70.29","1.21%","07/19"
"西班牙","957.22","10.24","1.08%","07/19"
"葡萄牙","2556.86","35.11","1.39%","07/19"
"愛爾蘭","2840.42","14.67","0.52%","07/19"
"以色列","1248.76","8.46","0.68%","07/19"
"埃及股市","518.69","-2.96","-0.57%","07/19"
"南非股市","28707.40","177.14","0.62%","07/19"
"約旦股市","2098.79","-1.44","-0.07%","07/19"
"杜拜股市","1522.10","-11.13","-0.73%","07/19"
"阿布達比","2697.65","-9.58","-0.35%","07/19"

"美洲股市指數行情"
"股市","指數","漲跌","比例","當地"
"道瓊工業","12587.40","202.26","1.63%","07/19"
"那斯達克","2826.52","61.41","2.22%","07/19"
"羅素兩千","834.62","18.65","2.29%","16:50"
"S&P 五百","1326.73","21.29","1.63%","07/19"
"費城金銀","217.84","-1.63","-0.74%","07/19"
